id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
6935,User6935,41.0,Male,Mobile,Bottom,Entertainment,Morning,0
2431,User2431,54.0,Male,Desktop,Top,Entertainment,Night,1
3164,User3164,38.0,Female,Desktop,Bottom,Entertainment,Evening,1
4756,User4756,38.0,Non-Binary,Mobile,Bottom,Education,Evening,1
1524,User1524,24.0,Non-Binary,Mobile,Bottom,Entertainment,Night,1
7674,User7674,38.0,Female,Desktop,Bottom,News,Afternoon,1
6251,User6251,44.0,Non-Binary,Desktop,Side,Shopping,Morning,1
6751,User6751,41.0,Female,Tablet,Bottom,Entertainment,Evening,0
9996,User9996,48.0,Female,Desktop,Top,Shopping,Evening,0
2973,User2973,27.0,Non-Binary,Desktop,Bottom,Entertainment,Night,1
6315,User6315,38.0,Male,Desktop,Top,Entertainment,Afternoon,1
7065,User7065,57.0,Female,Desktop,Bottom,Entertainment,Morning,1
9412,User9412,38.0,Male,Desktop,Bottom,Social Media,Morning,1
3458,User3458,41.0,Female,Tablet,Bottom,Entertainment,Morning,0
6121,User6121,41.0,Male,Desktop,Top,Entertainment,Afternoon,0
487,User487,28.0,Non-Binary,Mobile,Side,Entertainment,Afternoon,1
3266,User3266,38.0,Male,Tablet,Top,News,Afternoon,1
5574,User5574,52.0,Female,Desktop,Bottom,Shopping,Afternoon,1
6553,User6553,38.0,Female,Desktop,Bottom,Education,Morning,1
8996,User8996,22.0,Female,Desktop,Bottom,Entertainment,Evening,0
503,User503,43.0,Male,Desktop,Bottom,Social Media,Morning,1
4581,User4581,51.0,Female,Desktop,Top,Entertainment,Morning,0
3266,User3266,38.0,Male,Tablet,Top,News,Afternoon,1
8956,User8956,38.0,Male,Tablet,Bottom,News,Morning,1
9990,User9990,38.0,Male,Desktop,Side,Entertainment,Night,1
7426,User7426,41.0,Male,Mobile,Side,Entertainment,Night,0
6100,User6100,38.0,Male,Desktop,Bottom,Education,Morning,1
3543,User3543,38.0,Female,Desktop,Top,Entertainment,Night,1
7866,User7866,38.0,Female,Mobile,Top,Social Media,Morning,1
7917,User7917,44.0,Non-Binary,Tablet,Side,Entertainment,Afternoon,0
63,User63,41.0,Female,Tablet,Top,Social Media,Morning,0
5340,User5340,19.0,Male,Mobile,Side,Entertainment,Night,0
2907,User2907,41.0,Male,Mobile,Side,News,Morning,0
7545,User7545,25.0,Male,Tablet,Bottom,News,Evening,0
3746,User3746,38.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
6906,User6906,38.0,Male,Mobile,Top,Entertainment,Morning,1
1665,User1665,19.0,Female,Mobile,Bottom,Entertainment,Afternoon,0
1762,User1762,41.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0
4086,User4086,38.0,Female,Desktop,Top,Entertainment,Morning,1
9896,User9896,45.0,Female,Desktop,Side,Entertainment,Afternoon,0
1503,User1503,19.0,Female,Desktop,Side,Entertainment,Morning,1
571,User571,41.0,Male,Tablet,Bottom,Social Media,Afternoon,0
7591,User7591,41.0,Male,Desktop,Top,Entertainment,Night,0
5531,User5531,34.0,Male,Desktop,Top,News,Morning,1
5419,User5419,38.0,Male,Tablet,Bottom,Entertainment,Morning,1
9921,User9921,41.0,Female,Desktop,Side,Entertainment,Night,0
5338,User5338,51.0,Male,Mobile,Bottom,Social Media,Morning,1
5821,User5821,31.0,Female,Desktop,Bottom,Education,Morning,0
4890,User4890,43.0,Male,Desktop,Bottom,Education,Afternoon,1
9992,User9992,38.0,Male,Desktop,Side,Shopping,Evening,1
9153,User9153,61.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
2096,User2096,48.0,Non-Binary,Desktop,Top,Entertainment,Night,1
4777,User4777,41.0,Female,Tablet,Side,Entertainment,Morning,0
6683,User6683,38.0,Female,Tablet,Bottom,Entertainment,Night,1
6880,User6880,38.0,Female,Mobile,Side,News,Night,1
2021,User2021,41.0,Male,Mobile,Bottom,Entertainment,Night,1
5986,User5986,32.0,Female,Desktop,Side,Entertainment,Morning,0
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0
8948,User8948,25.0,Non-Binary,Mobile,Bottom,Education,Morning,1
3109,User3109,38.0,Non-Binary,Desktop,Side,Entertainment,Morning,1
3042,User3042,38.0,Male,Desktop,Side,Entertainment,Afternoon,1
3225,User3225,23.0,Male,Tablet,Bottom,Entertainment,Morning,1
3801,User3801,26.0,Non-Binary,Desktop,Side,Entertainment,Evening,1
1190,User1190,38.0,Non-Binary,Tablet,Bottom,Education,Morning,1
1077,User1077,38.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
3062,User3062,38.0,Male,Desktop,Bottom,Entertainment,Morning,1
6060,User6060,41.0,Female,Desktop,Top,News,Morning,0
4697,User4697,38.0,Non-Binary,Mobile,Side,Entertainment,Afternoon,1
6849,User6849,39.0,Male,Mobile,Bottom,Entertainment,Night,1
1908,User1908,26.0,Female,Mobile,Bottom,Entertainment,Morning,1
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0
4856,User4856,21.0,Female,Desktop,Top,Entertainment,Evening,0
1197,User1197,38.0,Male,Mobile,Top,Social Media,Night,1
9307,User9307,44.0,Non-Binary,Desktop,Bottom,Social Media,Evening,0
8683,User8683,26.0,Male,Desktop,Side,Entertainment,Morning,0
820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
6315,User6315,38.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
8010,User8010,24.0,Female,Desktop,Top,Entertainment,Morning,0
2364,User2364,54.0,Female,Desktop,Side,Entertainment,Afternoon,0
4507,User4507,42.0,Male,Desktop,Bottom,Entertainment,Morning,0
1549,User1549,38.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0
3577,User3577,58.0,Male,Desktop,Side,Social Media,Afternoon,0
5845,User5845,41.0,Female,Tablet,Bottom,Shopping,Morning,0
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
5418,User5418,38.0,Male,Desktop,Top,Entertainment,Morning,1
255,User255,31.0,Female,Desktop,Bottom,Entertainment,Night,1
4621,User4621,20.0,Male,Desktop,Bottom,Entertainment,Morning,1
1704,User1704,61.0,Female,Desktop,Bottom,Entertainment,Morning,1
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0
8957,User8957,38.0,Female,Mobile,Top,Entertainment,Morning,1
3314,User3314,35.0,Male,Tablet,Top,News,Evening,0
5995,User5995,41.0,Male,Desktop,Top,Entertainment,Morning,0
3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0
1325,User1325,38.0,Female,Desktop,Side,Entertainment,Evening,1
756,User756,44.0,Non-Binary,Desktop,Bottom,Entertainment,Evening,0
5194,User5194,53.0,Male,Mobile,Top,Entertainment,Morning,1
4611,User4611,20.0,Female,Tablet,Bottom,Social Media,Night,0
2023,User2023,19.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
2565,User2565,44.0,Non-Binary,Desktop,Bottom,Shopping,Night,0
2965,User2965,44.0,Non-Binary,Tablet,Top,Shopping,Morning,0
8041,User8041,38.0,Male,Mobile,Bottom,Entertainment,Afternoon,1
6258,User6258,38.0,Non-Binary,Tablet,Top,Entertainment,Night,1
3375,User3375,52.0,Female,Mobile,Bottom,Education,Morning,1
7805,User7805,36.0,Male,Mobile,Bottom,Entertainment,Afternoon,0
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
6449,User6449,42.0,Non-Binary,Desktop,Top,Shopping,Night,1
9647,User9647,34.0,Non-Binary,Desktop,Side,Entertainment,Evening,0
5439,User5439,38.0,Female,Tablet,Side,Social Media,Afternoon,1
9400,User9400,38.0,Non-Binary,Mobile,Side,Education,Night,1
1914,User1914,42.0,Female,Desktop,Bottom,Shopping,Morning,1
9732,User9732,27.0,Male,Desktop,Bottom,Education,Evening,0
5642,User5642,57.0,Non-Binary,Tablet,Bottom,News,Morning,0
9689,User9689,38.0,Male,Desktop,Bottom,Entertainment,Morning,1
7655,User7655,39.0,Female,Desktop,Bottom,Entertainment,Morning,0
5780,User5780,38.0,Female,Mobile,Bottom,Entertainment,Morning,1
2976,User2976,44.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon,0
6262,User6262,44.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,0
3663,User3663,44.0,Non-Binary,Mobile,Bottom,Social Media,Morning,0
8103,User8103,44.0,Non-Binary,Desktop,Top,Entertainment,Night,0
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0
9136,User9136,38.0,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
6974,User6974,53.0,Non-Binary,Desktop,Side,Education,Evening,0
1486,User1486,44.0,Non-Binary,Desktop,Side,Entertainment,Morning,0
606,User606,38.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
1612,User1612,40.0,Non-Binary,Mobile,Side,News,Evening,1
6438,User6438,53.0,Non-Binary,Tablet,Bottom,Entertainment,Night,1
3225,User3225,23.0,Male,Desktop,Bottom,Entertainment,Morning,1
9842,User9842,43.0,Non-Binary,Mobile,Bottom,Shopping,Afternoon,1
8817,User8817,38.0,Male,Tablet,Bottom,Entertainment,Night,1
1020,User1020,38.0,Male,Mobile,Side,Education,Morning,1
1635,User1635,54.0,Female,Desktop,Top,Entertainment,Morning,1
3776,User3776,44.0,Non-Binary,Desktop,Top,Social Media,Evening,0
5412,User5412,35.0,Female,Mobile,Top,Entertainment,Evening,1
6989,User6989,28.0,Male,Mobile,Bottom,Shopping,Afternoon,1
8018,User8018,38.0,Non-Binary,Desktop,Side,Entertainment,Night,1
2529,User2529,38.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
3285,User3285,41.0,Male,Tablet,Side,News,Morning,0
2156,User2156,46.0,Female,Tablet,Side,Entertainment,Morning,1
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
9418,User9418,20.0,Male,Desktop,Side,News,Morning,1
8190,User8190,26.0,Female,Mobile,Side,Entertainment,Afternoon,1
1140,User1140,28.0,Male,Desktop,Side,Entertainment,Evening,0
3149,User3149,41.0,Male,Desktop,Top,Entertainment,Night,0
5629,User5629,38.0,Male,Tablet,Bottom,Entertainment,Night,1
9748,User9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
4086,User4086,38.0,Female,Desktop,Top,Entertainment,Morning,1
9400,User9400,38.0,Non-Binary,Mobile,Side,Education,Night,1
6449,User6449,38.0,Female,Desktop,Top,Shopping,Night,1
9699,User9699,41.0,Female,Desktop,Bottom,Shopping,Morning,0
2809,User2809,44.0,Non-Binary,Desktop,Top,News,Afternoon,0
4089,User4089,44.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
2885,User2885,44.0,Non-Binary,Desktop,Bottom,Education,Afternoon,0
1190,User1190,38.0,Non-Binary,Tablet,Bottom,Education,Morning,1
8068,User8068,41.0,Female,Mobile,Side,Shopping,Afternoon,0
5082,User5082,44.0,Female,Mobile,Top,Entertainment,Afternoon,1
1345,User1345,34.0,Male,Desktop,Top,Entertainment,Morning,0
4938,User4938,38.0,Male,Desktop,Side,Social Media,Evening,1
5623,User5623,53.0,Non-Binary,Desktop,Side,Entertainment,Morning,1
5329,User5329,54.0,Male,Tablet,Side,Entertainment,Evening,1
9990,User9990,25.0,Male,Desktop,Side,Entertainment,Night,1
3746,User3746,38.0,Male,Desktop,Top,Entertainment,Morning,1
7993,User7993,38.0,Non-Binary,Mobile,Bottom,Social Media,Morning,1
5955,User5955,38.0,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
5100,User5100,42.0,Male,Mobile,Side,Shopping,Morning,1
6129,User6129,36.0,Male,Tablet,Bottom,Entertainment,Evening,1
4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
3215,User3215,33.0,Male,Mobile,Side,Entertainment,Afternoon,0
4151,User4151,41.0,Male,Desktop,Bottom,Entertainment,Evening,0
8176,User8176,41.0,Male,Desktop,Top,News,Afternoon,0
1908,User1908,26.0,Male,Mobile,Bottom,Entertainment,Evening,1
2142,User2142,34.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon,1
4212,User4212,41.0,Female,Desktop,Bottom,News,Morning,0
9137,User9137,35.0,Female,Desktop,Side,Social Media,Morning,0
8085,User8085,35.0,Non-Binary,Mobile,Bottom,Entertainment,Evening,0
933,User933,41.0,Female,Tablet,Bottom,Entertainment,Night,0
4779,User4779,44.0,Non-Binary,Tablet,Top,Entertainment,Afternoon,0
4925,User4925,47.0,Male,Desktop,Side,Entertainment,Evening,0
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1
3818,User3818,27.0,Male,Desktop,Top,Shopping,Night,0
6919,User6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0
7779,User7779,36.0,Female,Desktop,Bottom,Entertainment,Morning,0
1612,User1612,40.0,Male,Mobile,Side,News,Evening,1
6441,User6441,38.0,Male,Desktop,Top,Entertainment,Night,1
7808,User7808,26.0,Female,Desktop,Top,Entertainment,Night,1
550,User550,44.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
1612,User1612,40.0,Female,Mobile,Side,News,Evening,1
3644,User3644,38.0,Female,Mobile,Side,Entertainment,Evening,1
7422,User7422,38.0,Female,Desktop,Top,Entertainment,Evening,1
5732,User5732,38.0,Non-Binary,Desktop,Bottom,Entertainment,Evening,1
8222,User8222,27.0,Non-Binary,Tablet,Side,News,Afternoon,1
4450,User4450,45.0,Female,Mobile,Top,Entertainment,Evening,0
3277,User3277,41.0,Male,Mobile,Side,News,Morning,0
8174,User8174,20.0,Female,Mobile,Bottom,Entertainment,Morning,1
1127,User1127,38.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
3345,User3345,38.0,Male,Desktop,Bottom,Entertainment,Night,1
6553,User6553,38.0,Male,Desktop,Bottom,Education,Morning,1
453,User453,38.0,Female,Tablet,Top,Entertainment,Afternoon,1
4345,User4345,41.0,Male,Desktop,Bottom,Education,Afternoon,0
6268,User6268,38.0,Female,Desktop,Bottom,Entertainment,Night,1
329,User329,36.0,Female,Desktop,Top,Entertainment,Night,0
9266,User9266,38.0,Female,Mobile,Bottom,Education,Afternoon,1
6917,User6917,44.0,Non-Binary,Mobile,Bottom,Entertainment,Afternoon,0
8561,User8561,52.0,Male,Mobile,Bottom,Entertainment,Evening,1
9448,User9448,44.0,Non-Binary,Mobile,Side,Entertainment,Morning,0
7272,User7272,44.0,Non-Binary,Tablet,Bottom,News,Afternoon,0
234,User234,19.0,Non-Binary,Tablet,Bottom,Social Media,Morning,1
255,User255,38.0,Female,Desktop,Bottom,Entertainment,Night,1
2129,User2129,47.0,Non-Binary,Tablet,Bottom,Social Media,Evening,1
7678,User7678,53.0,Female,Desktop,Top,Social Media,Night,0
8515,User8515,38.0,Non-Binary,Mobile,Bottom,Entertainment,Night,1
2173,User2173,38.0,Male,Desktop,Bottom,Shopping,Night,1
5571,User5571,41.0,Female,Desktop,Side,Entertainment,Evening,0
9611,User9611,38.0,Male,Desktop,Side,Entertainment,Afternoon,1
5737,User5737,29.0,Female,Desktop,Top,Shopping,Night,0
7788,User7788,63.0,Non-Binary,Mobile,Side,Entertainment,Night,0
7471,User7471,38.0,Female,Mobile,Bottom,Entertainment,Morning,1
9811,User9811,41.0,Male,Mobile,Side,Entertainment,Morning,0
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1
217,User217,41.0,Male,Tablet,Bottom,Education,Morning,0
234,User234,38.0,Female,Desktop,Bottom,Social Media,Morning,1
6864,User6864,41.0,Male,Desktop,Side,Social Media,Evening,0
6462,User6462,36.0,Female,Tablet,Side,Education,Evening,1
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1
3543,User3543,55.0,Male,Desktop,Top,Entertainment,Night,1
7214,User7214,62.0,Non-Binary,Mobile,Bottom,Education,Morning,0
3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1
8957,User8957,38.0,Non-Binary,Desktop,Top,Entertainment,Morning,1
1214,User1214,26.0,Female,Mobile,Bottom,Entertainment,Evening,1
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
6602,User6602,38.0,Female,Desktop,Bottom,Entertainment,Morning,1
9400,User9400,38.0,Male,Mobile,Side,Education,Morning,1
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
5084,User5084,38.0,Non-Binary,Tablet,Side,Entertainment,Morning,1
1020,User1020,38.0,Female,Desktop,Side,Entertainment,Morning,1
9618,User9618,44.0,Non-Binary,Desktop,Bottom,Education,Morning,0
4228,User4228,38.0,Male,Desktop,Side,Entertainment,Morning,1
7659,User7659,19.0,Female,Mobile,Top,News,Night,0
2003,User2003,44.0,Non-Binary,Desktop,Bottom,News,Afternoon,0
9736,User9736,46.0,Male,Desktop,Bottom,Education,Morning,1
487,User487,28.0,Male,Mobile,Side,Entertainment,Afternoon,1
4429,User4429,38.0,Female,Desktop,Top,Entertainment,Morning,1
998,User998,38.0,Female,Tablet,Top,Entertainment,Evening,1
8226,User8226,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
9220,User9220,21.0,Female,Mobile,Side,Entertainment,Night,1
1420,User1420,62.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
2485,User2485,38.0,Non-Binary,Mobile,Bottom,News,Morning,1
4841,User4841,21.0,Female,Desktop,Side,Education,Evening,0
8316,User8316,41.0,Male,Desktop,Bottom,Entertainment,Morning,0
3601,User3601,38.0,Non-Binary,Mobile,Bottom,Entertainment,Morning,1
9290,User9290,61.0,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
5258,User5258,50.0,Non-Binary,Desktop,Side,Education,Night,0
9431,User9431,38.0,Male,Mobile,Top,Entertainment,Afternoon,1
885,User885,49.0,Male,Tablet,Side,Entertainment,Afternoon,0
7866,User7866,38.0,Female,Mobile,Bottom,Social Media,Morning,1
1110,User1110,43.0,Non-Binary,Mobile,Side,Entertainment,Morning,0
1539,User1539,43.0,Non-Binary,Mobile,Bottom,Education,Evening,1
2722,User2722,39.0,Non-Binary,Desktop,Top,Entertainment,Evening,1
5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1
5062,User5062,41.0,Male,Tablet,Bottom,Entertainment,Night,0
6125,User6125,18.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,0
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Morning,1
6573,User6573,55.0,Non-Binary,Desktop,Side,Entertainment,Evening,1
2133,User2133,41.0,Male,Tablet,Side,Shopping,Morning,0
3014,User3014,38.0,Female,Mobile,Top,Entertainment,Morning,1
6619,User6619,36.0,Non-Binary,Tablet,Bottom,Social Media,Evening,0
579,User579,41.0,Male,Tablet,Side,Entertainment,Evening,0
3938,User3938,38.0,Male,Mobile,Bottom,Entertainment,Morning,1
949,User949,41.0,Female,Desktop,Top,Social Media,Morning,0
6145,User6145,41.0,Female,Desktop,Side,Education,Evening,0
9075,User9075,36.0,Female,Mobile,Bottom,Entertainment,Morning,1
3658,User3658,38.0,Male,Desktop,Side,Shopping,Night,1
7993,User7993,38.0,Non-Binary,Mobile,Bottom,Social Media,Morning,1
6602,User6602,38.0,Male,Desktop,Side,Entertainment,Night,1
2760,User2760,55.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
4616,User4616,41.0,Female,Desktop,Side,Entertainment,Evening,0
1503,User1503,19.0,Female,Tablet,Side,Entertainment,Afternoon,1
9550,User9550,58.0,Female,Desktop,Top,Education,Afternoon,1
9227,User9227,38.0,Non-Binary,Desktop,Side,Entertainment,Morning,1
5522,User5522,19.0,Male,Desktop,Bottom,Entertainment,Night,0
7438,User7438,38.0,Non-Binary,Desktop,Side,News,Morning,1
5733,User5733,44.0,Non-Binary,Mobile,Bottom,Entertainment,Morning,0
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
6771,User6771,38.0,Male,Desktop,Side,Entertainment,Morning,1
8442,User8442,54.0,Female,Tablet,Bottom,News,Evening,0
393,User393,38.0,Male,Desktop,Bottom,Shopping,Morning,1
8252,User8252,38.0,Male,Desktop,Side,Entertainment,Night,1
8947,User8947,22.0,Male,Desktop,Bottom,Entertainment,Morning,1
6423,User6423,41.0,Female,Tablet,Side,Shopping,Afternoon,0
670,User670,22.0,Non-Binary,Desktop,Bottom,Shopping,Afternoon,1
9245,User9245,41.0,Female,Tablet,Top,Education,Morning,0
3232,User3232,22.0,Male,Tablet,Bottom,Entertainment,Night,0
6479,User6479,38.0,Male,Tablet,Side,Entertainment,Afternoon,1
8226,User8226,38.0,Male,Tablet,Top,Entertainment,Morning,1
4254,User4254,19.0,Male,Desktop,Bottom,Entertainment,Afternoon,1
1099,User1099,36.0,Male,Tablet,Top,Shopping,Night,0
3641,User3641,38.0,Female,Tablet,Bottom,Entertainment,Night,1
3014,User3014,38.0,Female,Mobile,Top,Entertainment,Afternoon,1
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1
9806,User9806,58.0,Male,Desktop,Bottom,Entertainment,Evening,1
6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0
1470,User1470,25.0,Male,Tablet,Top,Social Media,Evening,0
645,User645,44.0,Non-Binary,Tablet,Side,Entertainment,Morning,0
4015,User4015,38.0,Male,Desktop,Side,Entertainment,Morning,1
8208,User8208,38.0,Female,Tablet,Top,Education,Evening,1
5425,User5425,38.0,Male,Mobile,Side,Entertainment,Afternoon,1
4874,User4874,41.0,Male,Mobile,Bottom,News,Morning,0
1914,User1914,38.0,Male,Desktop,Bottom,Shopping,Morning,1
4950,User4950,28.0,Male,Mobile,Bottom,Entertainment,Morning,1
24,User24,38.0,Female,Tablet,Side,Entertainment,Morning,1
7450,User7450,38.0,Male,Desktop,Side,News,Night,1
2019,User2019,42.0,Male,Tablet,Top,Entertainment,Night,0
1446,User1446,38.0,Male,Desktop,Bottom,News,Night,1
7750,User7750,46.0,Non-Binary,Mobile,Side,Social Media,Morning,1
2337,User2337,40.0,Male,Desktop,Top,Entertainment,Morning,1
4178,User4178,41.0,Male,Desktop,Top,Entertainment,Morning,0
6487,User6487,19.0,Male,Desktop,Side,Entertainment,Morning,1
3057,User3057,41.0,Female,Desktop,Top,Entertainment,Afternoon,0
6765,User6765,46.0,Female,Desktop,Bottom,Entertainment,Morning,1
5193,User5193,50.0,Female,Desktop,Bottom,Education,Afternoon,1
6906,User6906,38.0,Non-Binary,Mobile,Top,Entertainment,Morning,1
2555,User2555,38.0,Non-Binary,Tablet,Bottom,News,Morning,1
4773,User4773,59.0,Male,Desktop,Top,Entertainment,Morning,0
6438,User6438,53.0,Non-Binary,Desktop,Bottom,Shopping,Night,1
9128,User9128,44.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
9075,User9075,36.0,Female,Mobile,Bottom,Entertainment,Night,1
8372,User8372,52.0,Male,Desktop,Top,Entertainment,Afternoon,0
